int_goalkeeping_id,int_player_id,int_diving,int_handling,int_kicking,int_positioning,int_reflexes
1,1,6,11,15,14,8
2,2,7,11,15,14,11
3,3,87,92,78,90,90
4,4,15,13,5,10,13
5,5,9,9,15,15,11
6,6,15,6,12,8,10
7,7,13,5,7,11,6
8,8,86,88,85,91,89
9,9,14,14,9,11,14
10,10,10,10,15,7,14
11,11,13,10,13,11,11
12,12,88,85,88,88,90
13,13,13,14,16,12,12
14,14,84,89,74,85,88
15,15,87,87,91,86,89
16,16,13,11,5,5,7
17,17,11,8,9,7,11
18,18,13,15,6,11,14
19,19,15,12,10,7,10
20,20,8,15,7,15,15
21,21,5,4,4,5,8
22,22,86,82,93,86,88
23,23,15,12,12,15,9
24,24,8,10,11,14,11
25,25,7,11,7,13,5
26,26,11,13,13,6,10
27,27,11,12,6,8,8
28,28,10,11,13,7,10
29,29,88,85,73,89,89
30,30,7,11,10,11,13
31,31,14,15,14,6,7
32,32,9,10,14,12,9
33,33,11,8,10,7,14
34,34,10,11,5,14,5
35,35,12,14,15,8,14
36,36,13,12,6,8,8
37,37,8,11,9,6,10
38,38,14,8,14,13,14
39,39,90,81,75,82,90
40,40,6,8,15,12,6
41,41,5,8,13,9,13
42,42,6,9,15,9,9
43,43,86,82,73,87,88
44,44,10,7,11,12,11
45,45,13,9,7,14,9
46,46,27,25,31,33,37
47,47,89,82,68,84,90
48,48,3,3,2,4,3
49,49,15,14,7,15,11
50,50,14,10,10,9,7
51,51,13,13,15,9,15
52,52,11,11,9,5,14
53,53,12,12,15,15,10
54,54,5,6,2,4,3
55,55,88,81,78,82,89
56,56,6,7,11,14,14
57,57,13,15,13,6,13
58,58,7,13,7,9,13
59,59,15,6,10,5,6
60,60,80,86,85,87,85
61,61,6,15,7,6,12
62,62,10,11,14,15,8
63,63,8,11,12,9,6
64,64,6,8,11,10,12
65,65,12,11,11,12,10
66,66,10,13,12,8,12
67,67,10,10,7,14,8
68,68,11,6,15,7,14
69,69,89,81,76,83,89
70,70,7,13,10,10,9
71,71,7,10,7,16,7
72,72,8,12,9,9,14
73,73,10,10,9,12,7
74,74,9,9,8,15,9
75,75,16,12,15,11,11
76,76,13,8,15,11,9
77,77,11,7,11,8,14
78,78,6,6,12,10,13
79,79,15,9,13,11,6
80,80,13,9,5,7,9
81,81,6,8,6,12,11
82,82,8,4,14,9,10
83,83,14,12,5,10,13
84,84,85,83,80,84,86
85,85,8,15,14,7,10
86,86,7,7,9,12,5
87,87,9,14,7,7,6
88,88,5,9,12,14,8
89,89,6,11,7,9,13
90,90,12,6,16,15,8
91,91,12,12,13,13,11
92,92,84,85,82,84,86
93,93,2,2,3,2,4
94,94,16,6,14,16,14
95,95,6,8,15,5,15
96,96,16,6,14,12,6
97,97,7,7,13,7,8
98,98,7,10,8,10,4
99,99,9,12,5,9,10
100,100,7,14,13,11,7
101,101,11,8,8,8,13
102,102,6,13,13,11,12
103,103,10,6,10,13,11
104,104,13,14,7,7,13
105,105,84,80,87,82,86
106,106,9,11,7,10,15
107,107,8,8,15,11,8
108,108,5,3,5,3,5
109,109,13,8,12,11,14
110,110,11,16,11,8,9
111,111,15,7,14,7,15
112,112,9,8,8,15,11
113,113,13,9,10,15,16
114,114,7,13,10,7,13
115,115,11,13,9,9,7
116,116,12,6,8,11,8
117,117,7,13,12,10,9
118,118,9,11,14,9,7
119,119,11,13,14,15,13
120,120,7,11,13,14,10
121,121,8,14,6,12,10
122,122,13,13,8,12,6
123,123,6,12,9,6,13
124,124,6,13,9,7,7
125,125,8,10,7,14,13
126,126,15,14,9,9,15
127,127,10,8,12,15,6
128,128,5,7,14,15,9
129,129,8,6,8,12,13
130,130,11,6,10,14,9
131,131,12,16,9,12,13
132,132,13,15,9,12,5
133,133,85,82,72,82,88
134,134,8,5,14,11,11
135,135,13,9,10,6,5
136,136,12,5,13,13,10
137,137,84,80,77,82,83
138,138,5,7,7,10,7
139,139,10,8,8,5,6
140,140,84,80,76,84,82
141,141,82,77,83,79,89
142,142,10,10,15,7,13
143,143,12,11,5,13,7
144,144,6,10,6,15,8
145,145,10,8,14,6,8
146,146,6,6,14,10,13
147,147,13,8,6,6,15
148,148,12,12,13,15,13
149,149,9,8,6,8,8
150,150,12,12,7,13,11
151,151,7,16,9,10,9
152,152,16,12,10,14,12
153,153,11,14,12,14,13
154,154,8,13,14,7,7
155,155,8,14,13,13,14
156,156,14,15,15,8,10
157,157,7,12,8,10,14
158,158,82,83,79,82,84
159,159,79,80,81,82,86
160,160,7,10,14,7,11
161,161,15,9,8,14,15
162,162,9,11,11,12,8
163,163,9,9,8,6,8
164,164,86,79,75,81,88
165,165,13,10,9,12,9
166,166,7,6,9,11,8
167,167,6,9,15,14,14
168,168,9,14,12,8,9
169,169,13,14,12,12,13
170,170,15,12,7,12,10
171,171,9,5,6,7,7
172,172,8,14,14,12,16
173,173,15,10,14,12,15
174,174,14,7,13,14,8
175,175,14,10,15,15,13
176,176,8,9,12,11,16
177,177,6,9,7,7,8
178,178,13,13,5,5,8
179,179,11,9,9,13,11
180,180,14,16,11,15,10
181,181,85,80,74,80,86
182,182,11,11,14,9,16
183,183,15,7,12,8,13
184,184,15,10,15,11,10
185,185,11,15,10,7,10
186,186,84,78,74,81,86
187,187,11,6,9,5,6
188,188,83,80,80,83,84
189,189,8,6,8,15,12
190,190,85,78,69,83,87
191,191,10,5,5,13,12
192,192,12,7,9,14,6
193,193,82,78,79,83,85
194,194,12,10,15,12,12
195,195,16,16,11,6,8
196,196,11,14,5,5,13
197,197,11,14,8,11,10
198,198,7,5,9,3,5
199,199,7,12,15,6,5
200,200,12,13,9,8,11
201,201,4,2,4,2,4
202,202,9,11,13,15,15
203,203,13,8,7,7,10
204,204,11,11,14,8,11
205,205,12,5,5,5,9
206,206,15,15,11,5,6
207,207,6,10,9,12,7
208,208,8,11,5,10,14
209,209,8,14,8,13,10
210,210,6,11,16,15,8
211,211,5,12,7,5,10
212,212,81,81,78,81,84
213,213,13,15,15,13,13
214,214,13,15,10,9,12
215,215,11,14,9,5,12
216,216,84,76,68,76,87
217,217,14,6,11,7,10
218,218,16,15,13,15,10
219,219,79,84,77,83,78
220,220,16,11,7,13,13
221,221,10,7,10,15,14
222,222,13,6,6,11,15
223,223,11,14,11,6,8
224,224,7,8,14,15,9
225,225,9,12,12,13,12
226,226,16,12,10,8,10
227,227,83,81,72,81,84
228,228,7,16,15,16,10
229,229,13,9,6,12,10
230,230,10,7,8,14,10
231,231,7,15,7,10,10
232,232,8,14,14,7,15
233,233,80,80,82,82,83
234,234,85,78,77,78,88
235,235,13,10,9,8,16
236,236,13,11,13,12,10
237,237,9,15,14,10,16
238,238,81,79,71,83,84
239,239,9,11,9,10,10
240,240,14,8,8,13,11
241,241,12,10,6,8,10
242,242,11,8,15,12,7
243,243,8,11,14,10,9
244,244,82,76,76,81,85
245,245,79,81,75,83,84
246,246,14,16,9,14,9
247,247,10,12,7,11,10
248,248,15,6,15,15,7
249,249,4,5,4,4,5
250,250,82,78,76,81,86
251,251,9,10,14,7,14
252,252,9,7,13,14,15
253,253,9,11,7,7,15
254,254,15,15,15,5,14
255,255,7,13,10,11,5
256,256,82,82,71,79,87
257,257,84,79,78,79,80
258,258,81,80,79,79,82
259,259,12,13,14,13,12
260,260,85,79,80,78,84
261,261,12,9,10,14,10
262,262,15,12,16,13,12
263,263,6,11,5,10,8
264,264,16,15,8,16,6
265,265,14,15,10,10,15
266,266,84,76,75,82,83
267,267,6,7,10,9,6
268,268,14,12,13,7,13
269,269,84,82,77,80,82
270,270,12,6,7,12,7
271,271,11,15,9,14,12
272,272,6,14,10,6,14
273,273,14,11,12,5,9
274,274,8,6,5,9,8
275,275,77,76,74,91,78
276,276,12,7,11,10,15
277,277,13,12,14,13,14
278,278,8,9,8,8,14
279,279,81,78,74,79,83
280,280,12,9,11,15,12
281,281,7,8,13,7,12
282,282,13,7,9,10,11
283,283,11,13,5,6,8
284,284,14,6,11,5,11
285,285,11,11,6,5,14
286,286,8,7,13,8,14
287,287,12,7,8,11,13
288,288,9,12,7,8,7
289,289,8,9,12,8,8
290,290,16,15,15,7,7
291,291,8,11,20,19,20
292,292,15,14,14,10,9
293,293,12,15,9,10,14
294,294,18,12,14,11,18
295,295,10,7,14,7,10
296,296,8,12,13,16,14
297,297,78,80,79,81,82
298,298,9,7,15,7,15
299,299,9,12,9,13,14
300,300,9,12,11,9,9
301,301,5,5,13,7,9
302,302,11,9,14,16,12
303,303,13,16,15,14,15
304,304,7,14,15,14,9
305,305,9,7,10,6,15
306,306,11,14,14,12,14
307,307,11,12,6,8,11
308,308,6,8,10,14,12
309,309,14,15,14,10,13
310,310,12,13,6,12,11
311,311,7,8,14,10,12
312,312,11,10,7,8,8
313,313,80,79,77,80,83
314,314,11,15,13,7,14
315,315,84,76,67,77,86
316,316,7,10,12,10,6
317,317,9,12,9,7,15
318,318,7,16,15,11,15
319,319,10,13,6,7,13
320,320,14,15,7,12,12
321,321,9,14,11,6,10
322,322,12,14,14,12,8
323,323,79,80,85,78,82
324,324,10,12,13,7,7
325,325,77,79,82,82,83
326,326,6,7,14,7,6
327,327,84,78,69,76,88
328,328,14,15,10,12,8
329,329,9,16,16,15,6
330,330,81,77,87,77,85
331,331,7,7,9,15,9
332,332,14,13,14,13,12
333,333,13,12,13,8,16
334,334,14,7,14,15,16
335,335,9,8,10,11,10
336,336,15,15,9,8,9
337,337,8,13,15,6,9
338,338,12,10,9,5,7
339,339,15,8,12,11,9
340,340,8,8,14,11,10
341,341,8,7,9,7,12
342,342,12,14,14,8,5
343,343,81,80,77,80,79
344,344,82,80,72,77,82
345,345,16,7,15,6,14
346,346,16,16,9,14,9
347,347,16,13,15,16,13
348,348,13,11,7,6,16
349,349,13,12,12,11,11
350,350,8,12,11,14,15
351,351,5,5,13,6,9
352,352,14,7,12,6,10
353,353,9,11,9,5,14
354,354,7,7,11,15,13
355,355,6,13,13,8,9
356,356,12,7,5,13,9
357,357,11,9,5,15,8
358,358,5,12,9,11,8
359,359,13,7,8,14,15
360,360,8,16,7,14,16
361,361,80,75,76,84,82
362,362,8,6,4,14,14
363,363,80,82,70,81,82
364,364,81,82,72,80,83
365,365,15,6,9,7,10
366,366,6,10,15,7,16
367,367,10,15,14,11,11
368,368,8,15,5,9,10
369,369,6,13,6,13,7
370,370,13,13,7,5,14
371,371,12,12,13,15,13
372,372,16,12,13,12,17
373,373,16,15,15,7,7
374,374,8,11,20,19,20
375,375,9,7,8,14,10
376,376,9,9,14,15,8
377,377,14,15,15,17,19
378,378,78,81,77,80,77
379,379,9,7,15,6,12
380,380,6,14,15,9,14
381,381,11,8,15,12,15
382,382,7,8,13,12,6
383,383,5,7,7,7,10
384,384,14,10,5,13,6
385,385,8,10,13,8,7
386,386,80,80,70,77,83
387,387,11,12,13,8,12
388,388,7,13,13,15,7
389,389,12,10,7,7,7
390,390,8,7,12,9,13
391,391,5,6,10,15,7
392,392,6,7,7,7,7
393,393,81,77,68,83,80
394,394,7,14,6,7,13
395,395,9,7,8,14,10
396,396,81,75,78,81,79
397,397,15,13,12,10,15
398,398,12,13,6,15,14
399,399,13,8,10,5,8
400,400,6,7,8,15,9
401,401,11,13,14,9,15
402,402,12,9,8,12,11
403,403,15,11,13,11,11
404,404,84,74,79,82,81
405,405,12,9,7,6,9
406,406,10,7,14,11,15
407,407,7,12,15,9,11
408,408,11,5,13,14,11
409,409,11,8,12,7,11
410,410,10,14,7,8,7
411,411,12,15,16,7,13
412,412,8,12,10,7,7
413,413,11,10,14,14,10
414,414,12,16,8,7,9
415,415,12,12,8,7,11
416,416,13,6,13,13,13
417,417,4,4,4,4,4
418,418,7,10,14,9,14
419,419,10,9,12,7,7
420,420,82,77,74,80,84
421,421,78,76,67,81,86
422,422,9,7,12,11,11
423,423,6,15,8,8,8
424,424,14,15,10,13,12
425,425,14,15,11,14,14
426,426,7,13,11,10,8
427,427,5,10,5,5,5
428,428,7,11,10,16,10
429,429,5,6,5,5,6
430,430,11,12,9,10,15
431,431,12,9,12,11,6
432,432,9,16,9,9,7
433,433,13,7,12,14,7
434,434,15,10,11,12,7
435,435,6,6,5,14,14
436,436,11,6,11,10,13
437,437,11,15,16,12,15
438,438,11,7,6,7,14
439,439,12,16,11,13,11
440,440,14,14,7,9,15
441,441,15,11,10,10,12
442,442,16,9,9,15,7
443,443,8,14,14,13,12
444,444,10,11,14,13,7
445,445,7,15,11,10,8
446,446,7,8,15,10,9
447,447,14,8,12,9,7
448,448,9,7,13,8,15
449,449,12,16,14,11,11
450,450,11,13,5,13,8
451,451,14,14,9,13,10
452,452,80,78,77,80,81
453,453,12,7,10,15,7
454,454,13,9,15,7,14
455,455,8,11,6,7,10
456,456,7,8,11,7,13
457,457,81,75,82,79,82
458,458,6,13,6,14,6
459,459,10,15,13,12,8
460,460,7,10,15,16,9
461,461,15,14,8,6,7
462,462,9,11,7,15,13
463,463,10,13,12,16,6
464,464,15,14,16,15,8
465,465,14,6,7,12,8
466,466,5,11,14,5,7
467,467,9,12,8,9,15
468,468,9,15,7,13,14
469,469,9,7,13,9,12
470,470,9,14,8,8,7
471,471,7,15,12,14,9
472,472,8,14,15,7,10
473,473,15,7,11,14,12
474,474,6,14,7,6,12
475,475,16,10,8,8,11
476,476,81,79,77,77,82
477,477,5,11,12,15,9
478,478,6,10,7,11,12
479,479,9,9,8,10,15
480,480,10,14,7,15,14
481,481,6,7,6,15,7
482,482,7,10,13,11,12
483,483,10,6,11,12,13
484,484,16,11,13,9,8
485,485,10,10,15,12,13
486,486,6,3,6,3,3
487,487,11,12,10,7,14
488,488,11,13,12,8,11
489,489,6,10,13,10,15
490,490,15,9,13,11,13
491,491,77,80,78,79,80
492,492,7,5,9,3,5
493,493,14,11,14,6,12
494,494,78,77,80,79,83
495,495,11,9,10,13,13
496,496,14,16,14,16,15
497,497,10,15,11,8,13
498,498,12,16,16,15,8
499,499,12,6,10,13,12
500,500,80,79,74,78,79
501,501,10,13,6,9,5
502,502,16,14,11,16,14
503,503,6,7,5,4,4
504,504,14,11,9,9,13
505,505,77,72,78,82,84
506,506,5,10,13,6,6
507,507,12,9,10,8,6
508,508,9,14,6,10,11
509,509,17,14,14,8,12
510,510,9,10,14,8,13
511,511,81,75,71,77,82
512,512,15,14,14,10,9
513,513,15,13,14,14,18
514,514,13,13,16,8,9
515,515,15,13,13,7,6
516,516,15,15,13,12,11
517,517,9,8,12,8,5
518,518,11,12,8,5,10
519,519,78,77,74,79,81
520,520,11,10,8,14,13
521,521,7,7,7,14,14
522,522,11,12,8,9,7
523,523,14,10,15,15,13
524,524,9,13,5,14,14
525,525,14,7,14,7,7
526,526,8,15,6,10,13
527,527,12,13,8,12,6
528,528,9,6,6,10,11
529,529,8,12,8,6,11
530,530,6,11,10,11,15
531,531,6,5,11,8,10
532,532,80,77,75,79,79
533,533,9,8,13,8,14
534,534,8,11,14,5,9
535,535,6,14,7,13,11
536,536,11,12,10,5,14
537,537,6,8,9,10,13
538,538,7,6,9,7,11
539,539,10,10,7,13,14
540,540,14,14,10,9,6
541,541,6,6,12,15,13
542,542,9,12,8,10,9
543,543,81,75,71,77,82
544,544,15,7,16,9,8
545,545,9,9,14,15,8
546,546,9,10,6,6,7
547,547,13,13,16,8,9
548,548,7,14,7,14,6
549,549,14,13,7,11,8
550,550,7,15,13,9,7
551,551,11,6,6,10,14
552,552,12,7,10,13,11
553,553,14,9,10,8,10
554,554,14,7,13,11,11
555,555,8,7,14,14,12
556,556,9,11,12,7,15
557,557,12,14,14,10,16
558,558,14,14,10,9,8
559,559,8,9,9,10,8
560,560,13,12,13,12,9
561,561,11,10,9,13,7
562,562,6,13,14,7,14
563,563,14,12,16,13,16
564,564,12,8,10,6,12
565,565,8,11,14,13,10
566,566,6,14,16,11,7
567,567,9,12,6,13,16
568,568,7,10,15,15,15
569,569,7,15,14,11,11
570,570,13,15,12,13,14
571,571,11,15,11,14,10
572,572,7,7,13,7,8
573,573,10,14,9,7,16
574,574,11,14,8,15,11
575,575,14,13,13,16,8
576,576,6,14,14,6,11
577,577,12,6,10,11,12
578,578,12,12,11,14,8
579,579,15,8,13,12,6
580,580,10,14,12,8,11
581,581,13,14,13,15,16
582,582,8,8,9,12,15
583,583,7,15,13,9,7
584,584,13,9,11,12,7
585,585,9,11,9,15,10
586,586,10,12,8,6,8
587,587,7,9,10,8,13
588,588,11,8,7,9,14
589,589,79,78,64,76,81
590,590,15,12,11,8,11
591,591,12,9,6,14,8
592,592,81,75,69,79,81
593,593,8,13,11,8,8
594,594,9,14,13,14,10
595,595,6,16,16,9,9
596,596,8,15,8,7,14
597,597,8,7,7,14,14
598,598,13,16,15,8,14
599,599,8,8,10,13,10
600,600,79,76,75,80,83
601,601,10,7,7,16,10
602,602,6,7,9,10,11
603,603,13,12,10,15,11
604,604,13,7,9,15,11
605,605,12,8,14,15,15
606,606,82,75,72,77,83
607,607,15,14,15,7,10
608,608,9,14,6,9,10
609,609,11,9,11,10,10
610,610,15,13,9,14,9
611,611,13,9,16,6,12
612,612,12,12,10,15,15
613,613,15,12,15,10,6
614,614,13,5,9,8,14
615,615,14,6,7,6,15
616,616,10,8,14,10,8
617,617,11,14,13,12,7
618,618,8,13,12,12,8
619,619,77,76,71,78,82
620,620,16,9,13,8,6
621,621,11,14,6,13,9
622,622,8,15,10,12,8
623,623,14,7,10,13,16
