int_movement_id,int_player_id,int_acceleration,int_sprint_speed,int_agility,int_reactions,int_balance
1,1,91,80,91,94,95
2,2,87,91,87,95,71
3,3,43,60,67,88,49
4,4,77,76,78,91,76
5,5,94,89,96,91,83
6,6,77,78,77,93,82
7,7,96,96,92,92,82
8,8,56,47,40,88,37
9,9,94,92,91,92,91
10,10,95,93,93,93,86
11,11,72,79,61,89,53
12,12,38,50,37,86,43
13,13,60,69,61,87,66
14,14,42,52,61,84,45
15,15,54,60,51,86,35
16,16,77,72,79,91,69
17,17,72,70,78,92,66
18,18,79,78,84,92,91
19,19,79,76,82,91,92
20,20,77,66,84,88,84
21,21,89,82,92,84,90
22,22,64,63,60,87,48
23,23,96,90,94,90,94
24,24,66,69,69,90,73
25,25,73,77,52,85,41
26,26,86,90,86,90,78
27,27,91,86,92,86,93
28,28,57,52,63,89,71
29,29,51,55,47,83,36
30,30,86,81,91,87,90
31,31,77,83,74,83,74
32,32,85,78,94,85,92
33,33,79,85,78,84,74
34,34,60,65,59,87,60
35,35,78,76,79,86,79
36,36,66,68,66,84,65
37,37,78,77,85,90,86
38,38,80,79,91,92,83
39,39,54,53,60,84,61
40,40,82,85,75,90,77
41,41,40,43,67,84,50
42,42,91,94,77,88,68
43,43,51,47,55,82,51
44,44,82,83,94,84,76
45,45,76,70,91,88,92
46,46,72,68,76,92,78
47,47,65,62,55,85,54
48,48,60,70,57,82,57
49,49,90,87,72,90,75
50,50,90,77,86,86,88
51,51,79,80,79,84,81
52,52,79,85,62,86,39
53,53,68,61,91,87,94
54,54,66,79,73,81,66
55,55,57,58,63,83,43
56,56,68,68,73,94,71
57,57,88,87,90,82,85
58,58,66,65,69,86,68
59,59,46,67,63,87,62
60,60,48,54,55,84,58
61,61,68,61,85,87,87
62,62,48,64,57,88,35
63,63,94,86,93,86,94
64,64,78,88,78,85,74
65,65,68,75,56,84,60
66,66,70,68,48,83,51
67,67,66,65,68,82,69
68,68,89,93,86,86,75
69,69,46,54,64,79,38
70,70,80,80,83,88,79
71,71,66,72,64,83,63
72,72,91,95,84,79,78
73,73,76,72,61,84,60
74,74,93,89,83,87,76
75,75,84,83,79,85,79
76,76,77,79,76,87,70
77,77,83,77,85,84,78
78,78,70,73,69,85,67
79,79,87,79,92,81,88
