int_skill_id,int_player_id,int_dribbling,int_curve,int_fk_accuracy,int_long_passing,int_ball_control
1,1,96,93,94,91,96
2,2,88,81,76,77,92
3,3,12,13,14,40,30
4,4,88,85,83,93,92
5,5,95,88,89,81,95
6,6,85,79,85,70,88
7,7,92,79,63,70,90
8,8,27,19,18,44,30
9,9,90,83,69,75,89
10,10,91,76,64,71,89
11,11,70,60,70,86,77
12,12,21,18,12,63,30
13,13,69,63,74,84,79
14,14,13,19,20,35,23
15,15,30,14,11,59,46
16,16,87,81,73,73,90
17,17,65,74,76,83,83
18,18,88,83,73,64,89
19,19,79,49,49,79,80
20,20,83,85,61,86,85
21,21,91,88,88,75,94
22,22,23,15,20,59,40
23,23,90,77,63,69,88
24,24,80,80,68,83,84
25,25,69,28,28,63,74
26,26,89,85,70,70,87
27,27,93,83,79,81,91
28,28,80,86,84,93,89
29,29,18,12,14,40,16
30,30,92,81,48,68,91
31,31,77,88,85,89,87
32,32,92,84,67,76,92
33,33,80,82,38,76,82
34,34,63,61,69,80,78
35,35,85,86,87,87,88
36,36,76,71,53,83,82
37,37,90,81,65,76,91
38,38,87,86,85,82,89
39,39,16,11,15,37,19
40,40,83,70,51,53,84
41,41,81,66,68,83,88
42,42,80,81,76,64,82
43,43,11,16,14,36,22
44,44,88,89,88,80,87
45,45,85,85,78,89,90
46,46,84,86,82,77,84
47,47,10,11,10,50,34
48,48,59,60,31,65,61
49,49,77,67,57,48,81
50,50,88,74,62,78,83
51,51,78,76,47,74,84
52,52,55,46,52,77,79
53,53,90,78,64,89,90
54,54,87,85,82,91,90
55,55,18,21,19,47,38
56,56,75,81,59,78,82
57,57,81,80,63,79,84
58,58,78,80,74,87,84
59,59,69,66,53,86,81
60,60,15,12,13,31,25
61,61,86,82,77,84,91
62,62,63,58,43,81,80
63,63,87,82,79,77,86
64,64,86,84,53,78,87
65,65,66,48,55,74,76
66,66,67,34,30,69,69
67,67,76,65,54,82,82
68,68,87,82,76,69,85
69,69,28,12,14,24,28
70,70,87,84,64,86,88
71,71,86,78,75,85,88
72,72,88,83,82,64,85
73,73,57,59,31,74,76
74,74,84,70,58,55,85
75,75,82,78,52,78,82
76,76,83,76,75,81,85
77,77,83,90,78,89,85
78,78,64,55,32,82,79
79,79,90,84,78,75,91
80,80,76,76,48,54,82
81,81,86,86,81,89,88
82,82,90,87,77,78,93
83,83,80,85,76,84,84
84,84,16,9,8,48,35
85,85,78,78,66,71,78
86,86,80,78,59,71,81
87,87,77,89,85,87,90
88,88,82,88,93,90,86
89,89,90,85,77,89,91
90,90,79,76,71,76,79
91,91,85,88,86,76,87
92,92,19,18,11,31,25
93,93,69,56,61,84,75
94,94,62,63,69,82,75
95,95,53,49,49,70,74
96,96,85,78,73,81,88
97,97,86,86,92,87,89
98,98,88,82,79,74,89
99,99,67,62,61,80,79
100,100,75,77,62,49,78
101,101,87,78,43,73,84
102,102,87,76,60,84,89
103,103,85,74,71,73,85
104,104,72,58,58,75,78
105,105,26,30,17,32,38
106,106,50,36,44,62,60
107,107,81,79,74,84,85
108,108,88,81,70,73,87
109,109,82,87,79,87,82
110,110,88,77,65,85,86
111,111,43,28,30,69,63
112,112,89,84,54,63,87
113,113,73,68,40,67,77
114,114,84,85,81,79,83
115,115,84,69,70,85,83
116,116,87,85,82,78,88
117,117,81,73,60,83,85
118,118,57,32,30,69,63
119,119,79,75,78,81,82
120,120,84,75,51,75,83
121,121,85,85,86,74,84
122,122,88,85,85,74,88
123,123,78,83,83,73,83
124,124,87,80,76,66,87
125,125,66,45,16,71,73
126,126,83,83,77,83,85
127,127,92,88,76,81,91
128,128,77,77,85,80,83
129,129,76,49,61,77,79
130,130,89,85,67,68,86
131,131,87,79,83,68,86
132,132,92,84,78,65,91
133,133,12,13,12,24,23
134,134,82,73,65,51,85
135,135,67,68,58,80,77
136,136,75,75,75,52,79
137,137,20,10,16,32,25
138,138,79,71,68,85,83
139,139,77,74,47,81,79
140,140,15,11,11,28,18
141,141,12,13,15,46,40
142,142,84,82,46,75,83
143,143,76,70,72,81,82
144,144,79,70,66,84,82
145,145,84,68,55,72,83
146,146,89,82,64,76,84
147,147,86,76,54,66,86
148,148,85,86,78,82,83
149,149,82,68,45,56,77
150,150,78,64,46,76,80
151,151,80,72,35,78,78
152,152,82,61,30,65,81
153,153,87,78,66,62,85
154,154,67,41,29,65,73
155,155,87,88,75,78,87
156,156,86,81,83,81,85
157,157,76,78,65,79,85
158,158,18,23,21,41,16
159,159,19,15,13,45,35
160,160,65,47,71,74,71
161,161,88,83,79,77,87
162,162,88,78,56,62,85
163,163,79,48,62,47,81
164,164,14,14,12,22,15
165,165,79,80,49,75,82
166,166,84,75,68,81,85
167,167,85,82,69,75,84
168,168,68,36,24,71,76
169,169,85,79,80,73,83
170,170,81,75,62,73,82
171,171,88,79,70,82,89
172,172,79,76,68,71,83
173,173,64,72,62,73,77
174,174,79,75,76,88,85
175,175,84,80,64,79,81
176,176,83,78,51,73,83
177,177,86,83,81,73,84
178,178,82,65,49,79,83
179,179,65,62,56,79,72
180,180,78,78,60,78,82
181,181,15,15,14,31,21
182,182,84,85,76,80,87
183,183,79,75,76,84,83
184,184,90,63,51,65,86
185,185,69,63,22,74,72
186,186,22,34,14,35,14
187,187,84,74,74,70,85
188,188,14,20,13,37,23
189,189,54,30,10,61,65
190,190,10,11,15,33,20
191,191,87,82,69,70,86
192,192,89,90,86,78,89
193,193,10,14,12,12,24
194,194,81,77,78,85,83
195,195,82,66,75,76,83
196,196,84,85,74,85,88
197,197,74,86,82,79,83
198,198,71,65,53,78,78
199,199,64,53,31,84,70
200,200,72,80,55,72,80
201,201,76,76,68,80,82
202,202,76,65,54,72,85
203,203,83,83,81,84,84
204,204,83,73,68,82,84
205,205,89,84,67,77,91
206,206,80,90,87,79,83
207,207,70,66,70,73,77
208,208,75,60,52,77,75
209,209,84,84,71,66,85
210,210,82,80,83,83,81
211,211,80,74,67,60,83
212,212,19,13,12,36,27
213,213,82,84,81,86,86
214,214,80,80,78,73,86
